ID,numgames,totalwinnings,name,year,occ,loc,studentflag
4598,2,45602,Buffy Thoms,2008,schoolteacher,"Watson, Louisiana",
8291,1,20001,Ryan Truchelut,2013,meterologist and graduate student,"Tallahassee, Florida",
4599,1,18001,Michael Guard,2008,financial manager,"Atlanta, Georgia",
2318,1,0,Deborah Wood,2002,pet writer,"Portland, Oregon",
8290,2,21602,Anne Ellis,1992,managing editor,"Madison, New Jersey",
2319,1,3800,Kim Tavares,2002,promotions associate,"Hamilton, Ohio",
8293,6,153600,Rebecca Rider,2013,office supply sales assistant,"Fresh Meadows, New York",
6535,9,355500,Arthur Gandolfi,2004,commercial real estate executive,"New York, New York",
2039,1,-100,Ben Martin,2001,attorney,"Washington, D.C",
6532,1,12400,Sheryl Silverstein,2009,patent attorney,"Encinitas, California",
2314,1,0,Amanda Brown,2002,college student,"Sherman, Texas",
6533,1,6000,Chris D'Orso,2009,assistant director of admissions,"Sound Beach, New York",
2315,1,0,Kevin Au,2002,stockbroker,"Honolulu, Hawaii",
8297,1,100,Michael Carvaines,2013,independent filmmaker,"Parma, Ohio",
8296,1,17800,Jim Weinstein,1992,advertising executive,"Los Angeles, California",
393,1,0,Ann Taliaferro Curtaz,1996,executive secretary,"San Carlos, California",
392,1,3500,Rick Blumenfeld,1996,research attorney,"Albuquerque, New Mexico",
391,2,31600,Ron Jin,1996,school librarian,"San Francisco, California",
390,11,173800,Michael Dup�e,1996,attorney,"Cleveland, Ohio",
396,4,28848,Lindsay Peet,1999,plumbing contractor,"Studio City, California",
395,1,2542,Christian De Jong,1999,customer service representative,"Los Angeles, California",
394,10,88000,Michael Rooney,1999,college instructor,"Pasadena, California",
399,2,3598,John Kelly,1992,retired Air Force officer,"Austin, Texas",
398,12,146076,Ryan Holznagel,1994,writer,"Forest Grove, Oregon",
2309,1,0,Jeff Kohlberg,1989,professor,"Philadelphia, Pennsylvania",
2308,1,0,Julie Dock,1989,editor,"Torrance, California",
4729,3,18300,Robin Woods,2008,software developer,"Aurora, Colorado",
4728,1,3399,Gretchen Wahl,2008,freelance magazine writer,"Chicago, Illinois",
2301,1,0,Bob Bearse,1988,software quality analyst,"Chicago, Illinois",
4724,1,2700,Carolyn Sosnowski,2008,research librarian,"Alexandria, Virginia",
